ID,Brand,CpuMf,CpuPf,GpuMf,GpuPf,GpuRam,GpuTgp,RamSp,RamSize,Storage,DpSize,DpRes,DpRate,Mass,Battery,Price
1,Acer,Intel,9,Nvidia,70,8,140,5,16,512,18,1440,165,3.16,90,2499000
2,Hansung,Intel,9,Nvidia,60,8,140,5,16,512,17.3,1440,240,2.8,73,1786000
3,Acer,Intel,7,Nvidia,60,8,140,5,16,512,16,1440,165,2.6,90,1699000
4,Msi,Intel,7,Nvidia,60,8,45,5,8,512,15.6,1080,144,1.98,53.5,1305000
5,Msi,Intel,7,Nvidia,60,8,45,5,8,1024,15.6,1080,144,1.98,53.5,1288670
6,Msi,Intel,7,Nvidia,60,8,45,5,8,2048,15.6,1080,144,1.98,53.5,1348560
7,Msi,Intel,7,Nvidia,50,6,45,4,8,512,15.6,1080,144,1.77,52.4,1217000
8,Msi,Intel,7,Nvidia,50,6,45,4,8,1024,15.6,1080,144,1.77,52.4,1235150
9,Msi,Intel,7,Nvidia,50,6,45,4,8,2048,15.6,1080,144,1.77,52.4,1358990
10,Hp,Amd,7,Nvidia,75,8,150,5,16,512,16.1,1440,165,2.35,83,1679000
11,Hp,Amd,7,Nvidia,75,8,150,5,16,1024,16.1,1440,165,2.35,83,1728810
12,Hp,Amd,7,Nvidia,75,8,150,5,16,2048,16.1,1440,165,2.35,83,1948990
13,Renovo,Intel,9,Nvidia,70,8,140,5,16,512,18,1440,165,3.16,90,2499000
14,Msi,Intel,7,Nvidia,60,8,105,5,32,512,17.3,1080,144,2.6,53.5,1598990
15,Msi,Intel,7,Nvidia,60,8,105,5,32,1024,17.3,1080,144,2.6,53.5,1658990
16,Msi,Intel,7,Nvidia,60,8,105,5,32,2048,17.3,1080,144,2.6,53.5,1724740
17,Msi,Intel,7,Nvidia,60,8,105,5,32,4096,17.3,1080,144,2.6,53.5,1847540
18,Razer,Intel,9,Nvidia,90,16,175,5,32,2048,16,2160,120,2.45,95.2,6339000
19,Msi,Intel,7,Nvidia,70,8,140,5,16,512,15.6,1440,240,2.3,90,2290000
20,Msi,Intel,7,Nvidia,70,8,140,5,16,1024,15.6,1440,240,2.3,90,2265360
21,Msi,Intel,7,Nvidia,70,8,140,5,16,2048,15.6,1440,240,2.3,90,2448990
22,Hansung,Intel,9,Nvidia,70,8,140,5,16,512,17.3,1440,240,2.8,73,2090000
23,Hansung,Intel,9,Nvidia,70,8,140,5,16,1024,17.3,1440,240,2.8,73,2190000
24,Hansung,Intel,9,Nvidia,70,8,140,5,16,2048,17.3,1440,240,2.8,73,2420000
25,Hansung,Intel,9,Nvidia,70,8,140,5,16,512,17.3,1440,240,2.8,73,2230000
26,Asus,Amd,7,Nvidia,50,6,105,5,8,512,17.3,1080,144,2.7,53.5,1134530
27,Asus,Amd,7,Nvidia,50,6,105,5,8,1024,17.3,1080,144,2.7,53.5,1193070
28,Asus,Amd,7,Nvidia,50,6,105,5,8,2048,17.3,1080,144,2.7,53.5,1380000
29,Samsung,Intel,9,Nvidia,70,8,60,5,32,1024,16,1620,120,1.79,76,3810590
30,Samsung,Intel,9,Nvidia,70,8,60,5,32,2048,16,1620,120,1.79,76,4089920
31,Samsung,Intel,9,Nvidia,70,8,60,5,32,3072,16,1620,120,1.79,76,4672500
32,Samsung,Intel,9,Nvidia,70,8,60,5,32,4096,16,1620,120,1.79,76,4297990
33,Samsung,Intel,9,Nvidia,70,8,60,5,32,8192,16,1620,120,1.79,76,5572110
34,Asus,Amd,9,Nvidia,80,12,125,5,16,1024,14,1440,165,1.65,76,3049000
35,Asus,Amd,9,Nvidia,80,12,125,5,16,2048,14,1440,165,1.65,76,3298990
36,Asus,Intel,9,Nvidia,60,6,95,5,32,1024,16,2160,120,2.4,96,1999000
37,Asus,Intel,9,Nvidia,60,6,95,5,32,2048,16,2160,120,2.4,96,2491230
38,Msi,Intel,7,Nvidia,75,8,140,4,16,512,17.3,1080,360,2.8,90,1770000
39,Msi,Intel,7,Nvidia,75,8,140,4,16,1024,17.3,1080,360,2.8,90,1770000
40,Msi,Intel,7,Nvidia,75,8,140,4,16,2048,17.3,1080,360,2.8,90,1850000
41,Msi,Intel,7,Nvidia,60,8,105,5,32,512,17.3,1080,144,2.6,53.5,1578980
42,Msi,Intel,7,Nvidia,60,8,105,5,32,1024,17.3,1080,144,2.6,53.5,1638980
43,Msi,Intel,7,Nvidia,60,8,105,5,32,2048,17.3,1080,144,2.6,53.5,1701890
44,Msi,Intel,7,Nvidia,60,8,105,5,32,4096,17.3,1080,144,2.6,53.5,1827090
45,Hp,Intel,7,Nvidia,60,8,120,5,16,512,16.1,1080,165,2.31,70,1795000
46,Hp,Intel,7,Nvidia,60,8,120,5,16,1024,16.1,1080,165,2.31,70,1895000
47,Msi,Intel,9,Nvidia,60,8,140,5,64,1024,17.3,1440,240,2.7,90,2428790
48,Msi,Intel,9,Nvidia,60,8,140,5,64,2048,17.3,1440,240,2.7,90,2511590
49,Msi,Intel,9,Nvidia,60,8,140,5,64,3072,17.3,1440,240,2.7,90,2575990
50,Msi,Intel,9,Nvidia,60,8,140,5,64,4096,17.3,1440,240,2.7,90,2649590
